language,dim,prune_height,phonType,pearsonR_with_semSim,p-value
ASL,50d,2,ENTIRE,0.32457649314775083,0.014662833762278699
ASL,50d,2,HS,0.18439971553712192,0.17367256735813996
ASL,50d,2,MOV,0.25312255496949365,0.05980165933472673
ASL,50d,2,LOC,0.30360196163264297,0.022924584625471308
ASL,50d,3,ENTIRE,0.17460751706008265,0.005539968021803321
ASL,50d,3,HS,0.12442427566204631,0.04894506060392748
ASL,50d,3,MOV,0.07195743720413794,0.2560391328580761
ASL,50d,3,LOC,0.18172378478887785,0.0038675603431664513
ASL,50d,4,ENTIRE,0.16292288456556775,7.979507232635941e-05
ASL,50d,4,HS,0.09710976647164679,0.01922069190119739
ASL,50d,4,MOV,0.11685271716607042,0.004799186724681776
ASL,50d,4,LOC,0.15926807078329028,0.00011556104195746398
ASL,50d,5,ENTIRE,0.1886044222251066,1.707777266564179e-05
ASL,50d,5,HS,0.13261297677002368,0.002615974650194911
ASL,50d,5,MOV,0.1397829552951345,0.001504121938452178
ASL,50d,5,LOC,0.1609258362776661,0.0002523339212993101
ASL,50d,6,ENTIRE,0.24636705664002226,2.9912418516092332e-06
ASL,50d,6,HS,0.16472806061859266,0.0019591936595805765
ASL,50d,6,MOV,0.23407872136110647,9.356306951554001e-06
ASL,50d,6,LOC,0.2133472660827663,5.594622602364545e-05
ASL,50d,7,ENTIRE,0.24809783060826454,9.920763290415407e-05
ASL,50d,7,HS,0.13971503688319628,0.030133580139226346
ASL,50d,7,MOV,0.26648615728574854,2.7710010697636408e-05
ASL,50d,7,LOC,0.22130778423966774,0.0005386332554061916
ASL,50d,8,ENTIRE,0.17157755321176293,0.024840272213840976
ASL,50d,8,HS,0.12015240229959497,0.11750117350708683
ASL,50d,8,MOV,0.13165786913234082,0.08607014154072967
ASL,50d,8,LOC,0.16557421774368716,0.030445632677830823
ASL,50d,9,ENTIRE,0.29353586192799885,0.0006055244544810617
ASL,50d,9,HS,0.2287640681861115,0.008083770009963827
ASL,50d,9,MOV,0.19215036125817972,0.02670803161314716
ASL,50d,9,LOC,0.27407524076206413,0.001411391598579757
ASL,50d,10,ENTIRE,0.26128521788399955,0.006559790045427895
ASL,50d,10,HS,0.22891601378081883,0.01770658459638843
ASL,50d,10,MOV,0.13352469936619799,0.1703389197777936
ASL,50d,10,LOC,0.23886943967959526,0.013217904385355746
ASL,50d,11,ENTIRE,0.21516096924378664,0.05687388897348638
ASL,50d,11,HS,0.14687333299713734,0.19647890539947385
ASL,50d,11,MOV,0.11164580456851113,0.32729374251451937
ASL,50d,11,LOC,0.21965963880551487,0.051764708038501944
ASL,50d,12,ENTIRE,0.23683408730492628,0.06610560512698874
ASL,50d,12,HS,0.1612897587811709,0.21430967256237407
ASL,50d,12,MOV,0.12617823633670905,0.33255721972640334
ASL,50d,12,LOC,0.24081255842094274,0.06155168381281043
ASL,100d,2,ENTIRE,0.0769209001599851,0.8327275928327021
ASL,100d,2,HS,-0.12371253088026658,0.7334827437880512
ASL,100d,2,MOV,0.4285978665645215,0.21651582473001096
ASL,100d,2,LOC,0.007678745306038598,0.983203735026744
ASL,100d,3,ENTIRE,0.2551425195169359,0.029368317331613353
ASL,100d,3,HS,0.17372943647037223,0.14158104203751012
ASL,100d,3,MOV,0.19328455516801343,0.10133599580315018
ASL,100d,3,LOC,0.23711490025255333,0.04339915017275357
ASL,100d,4,ENTIRE,0.20121523046487264,0.0006920427530757826
ASL,100d,4,HS,0.14548600069190154,0.014649917589782074
ASL,100d,4,MOV,0.11912236235615557,0.046036029518051934
ASL,100d,4,LOC,0.18715951453254764,0.0016256093252987535
ASL,100d,5,ENTIRE,0.1904720904866546,4.315540460207568e-06
ASL,100d,5,HS,0.10767366219911909,0.009835399399836282
ASL,100d,5,MOV,0.17808112962650607,1.774144336131139e-05
ASL,100d,5,LOC,0.17861895457033053,1.671797613951592e-05
ASL,100d,6,ENTIRE,0.15090315919836228,0.0005833024059308923
ASL,100d,6,HS,0.0494685534929794,0.2620022900320667
ASL,100d,6,MOV,0.14246684227902107,0.0011747420267480917
ASL,100d,6,LOC,0.18060962016757715,3.68011328273103e-05
ASL,100d,7,ENTIRE,0.27540734348743023,6.989713794423556e-08
ASL,100d,7,HS,0.15899783044862578,0.0021281272047446484
ASL,100d,7,MOV,0.2577774673735545,4.810733929182337e-07
ASL,100d,7,LOC,0.2651055919138324,2.1943158649511824e-07
ASL,100d,8,ENTIRE,0.411759285193835,5.08299426709547e-12
ASL,100d,8,HS,0.31655090415427073,1.948267793727223e-07
ASL,100d,8,MOV,0.415685294152385,3.0439455041606724e-12
ASL,100d,8,LOC,0.3189190742298387,1.5603088549758284e-07
ASL,100d,9,ENTIRE,0.4412515888438519,7.054210620699706e-10
ASL,100d,9,HS,0.3623231219510092,6.700433173611769e-07
ASL,100d,9,MOV,0.37786679062415746,1.9934766662713914e-07
ASL,100d,9,LOC,0.3317963964707725,6.057783452695845e-06
ASL,100d,10,ENTIRE,0.4157100612623602,1.0619649764503085e-06
ASL,100d,10,HS,0.33364432937287714,0.00011879251244616587
ASL,100d,10,MOV,0.40502192466257997,2.1142400244149313e-06
ASL,100d,10,LOC,0.3504453589882276,5.0066294882198186e-05
ASL,100d,11,ENTIRE,0.48398277774332515,1.6897049849298275e-07
ASL,100d,11,HS,0.4138064268907517,1.1447818720285614e-05
ASL,100d,11,MOV,0.42576092915738245,5.955961998714396e-06
ASL,100d,11,LOC,0.39449024804868843,3.125623776856983e-05
ASL,100d,12,ENTIRE,0.39021843417779406,0.00037783933791166435
ASL,100d,12,HS,0.36151874636292824,0.0010622444281221581
ASL,100d,12,MOV,0.28352853837887837,0.011338816647723429
ASL,100d,12,LOC,0.30871226934367724,0.0056381059388301786
ASL,200d,2,ENTIRE,-0.24056487005810967,0.7594351299418903
ASL,200d,2,HS,-0.13770106724645315,0.8622989327535469
ASL,200d,2,MOV,-0.25371073475448674,0.7462892652455133
ASL,200d,2,LOC,-0.32942138732012616,0.6705786126798738
ASL,200d,3,ENTIRE,0.35136342111786595,0.07231276137835727
ASL,200d,3,HS,0.22198660975803422,0.265772283782137
ASL,200d,3,MOV,0.17564668390836963,0.3808445046297922
ASL,200d,3,LOC,0.36891840803105075,0.0582695228826627
ASL,200d,4,ENTIRE,0.2902477705066707,0.007773756245874905
ASL,200d,4,HS,0.19359708995124106,0.07949280726199999
ASL,200d,4,MOV,0.2642686886947468,0.015770849456709327
ASL,200d,4,LOC,0.23516806720011135,0.03234648569879024
ASL,200d,5,ENTIRE,0.20381861222576836,0.001890607043446921
ASL,200d,5,HS,0.14329472710186253,0.029813759808114133
ASL,200d,5,MOV,0.15659814205455322,0.01746968478928031
ASL,200d,5,LOC,0.18135549926540395,0.005809982575936974
ASL,200d,6,ENTIRE,0.22812923860043474,3.706689590571777e-07
ASL,200d,6,HS,0.1720481718085736,0.0001380904786153427
ASL,200d,6,MOV,0.18217980472239217,5.351015776016136e-05
ASL,200d,6,LOC,0.18382944409139323,4.562941726070735e-05
ASL,200d,7,ENTIRE,0.14581929788381115,0.0005188639406031269
ASL,200d,7,HS,0.05456560424665119,0.19608102531742638
ASL,200d,7,MOV,0.16349395819728607,9.741077718006503e-05
ASL,200d,7,LOC,0.16172484371203746,0.00011610026529034362
ASL,200d,8,ENTIRE,0.16655870744339,0.0004508732885057579
ASL,200d,8,HS,0.06255833262070049,0.19026857257405536
ASL,200d,8,MOV,0.1778572547566577,0.00017676862987099954
ASL,200d,8,LOC,0.1845409543257588,9.88317714790364e-05
ASL,200d,9,ENTIRE,0.2664666727480835,2.1006157091741355e-06
ASL,200d,9,HS,0.13011848731949388,0.02237132950352575
ASL,200d,9,MOV,0.27899386864473363,6.506033637875771e-07
ASL,200d,9,LOC,0.258975777268574,4.118061204998071e-06
ASL,200d,10,ENTIRE,0.28222230384859304,3.0458879605281355e-05
ASL,200d,10,HS,0.20040572790950262,0.003384304381470285
ASL,200d,10,MOV,0.28665586843404106,2.2513466195493104e-05
ASL,200d,10,LOC,0.22316593095023274,0.0010698204766843402
ASL,200d,11,ENTIRE,0.1908811032637585,0.016990200328016392
ASL,200d,11,HS,0.17455974715815065,0.02929620437018088
ASL,200d,11,MOV,0.14551430420559655,0.06990652413363178
ASL,200d,11,LOC,0.1376886181905274,0.08651531983352118
ASL,200d,12,ENTIRE,0.3282851204638241,0.00022288992729429743
ASL,200d,12,HS,0.30797430257042196,0.0005586333456128511
ASL,200d,12,MOV,0.17751259718598492,0.05045686421424033
ASL,200d,12,LOC,0.23749012386847357,0.00843964396111729
ASL,300d,2,ENTIRE,0.5534269883790414,0.6266395793836157
ASL,300d,2,HS,0.5906030246327498,0.597779862856625
ASL,300d,2,MOV,0.7418160851842496,0.4679294577476386
ASL,300d,2,LOC,0.20577839833006625,0.8680547829470344
ASL,300d,3,ENTIRE,0.2787099145934273,0.38036578472591337
ASL,300d,3,HS,0.05638749769984672,0.8618204965106973
ASL,300d,3,MOV,0.16161249985933226,0.6158106472577322
ASL,300d,3,LOC,0.3532965223210076,0.2599436327020129
ASL,300d,4,ENTIRE,0.22569251987607652,0.08566201389664577
ASL,300d,4,HS,0.2861806347521158,0.0279959006326375
ASL,300d,4,MOV,0.19041827161560393,0.14857285813505028
ASL,300d,4,LOC,0.06587325877277687,0.620109600886607
ASL,300d,5,ENTIRE,0.2621288893427515,0.0022161882745585513
ASL,300d,5,HS,0.21261304141625922,0.013648522846560682
ASL,300d,5,MOV,0.18511681196798357,0.03224585574573048
ASL,300d,5,LOC,0.21799062930745564,0.011396847531995649
ASL,300d,6,ENTIRE,0.21733938770932099,8.644469771174558e-05
ASL,300d,6,HS,0.12037859908436475,0.031068606473117
ASL,300d,6,MOV,0.16304915600135592,0.0033950980500656903
ASL,300d,6,LOC,0.22766695286164565,3.833833713162396e-05
ASL,300d,7,ENTIRE,0.1752648494787668,4.0835603363089144e-05
ASL,300d,7,HS,0.09972130579383548,0.020231231332434364
ASL,300d,7,MOV,0.16032941561188427,0.0001780591238971599
ASL,300d,7,LOC,0.16974030731527648,7.144031409295529e-05
ASL,300d,8,ENTIRE,0.17277138864571578,6.0831095467135534e-05
ASL,300d,8,HS,0.07382139005652374,0.08863890939799995
ASL,300d,8,MOV,0.188638974156112,1.1637732032733666e-05
ASL,300d,8,LOC,0.18235401741669516,2.278907285023916e-05
ASL,300d,9,ENTIRE,0.28093303758369637,1.52444326420069e-08
ASL,300d,9,HS,0.14573265110056377,0.003832887261015846
ASL,300d,9,MOV,0.3021398016591892,1.0199852092007546e-09
ASL,300d,9,LOC,0.256102594698834,2.742168461121808e-07
ASL,300d,10,ENTIRE,0.18581933866851147,0.002170139043729806
ASL,300d,10,HS,0.08404500234813668,0.1685027892285468
ASL,300d,10,MOV,0.2655555453872269,9.73638225362852e-06
ASL,300d,10,LOC,0.16473631426953872,0.006669835007797265
ASL,300d,11,ENTIRE,0.22520275200346576,0.0015490821124878177
ASL,300d,11,HS,0.08970782324656004,0.2123374530457118
ASL,300d,11,MOV,0.23114553553484155,0.00114934595939785
ASL,300d,11,LOC,0.23105407458964664,0.001154703690899185
ASL,300d,12,ENTIRE,0.21510901331122032,0.009879175580301623
ASL,300d,12,HS,0.1607117690375064,0.05518091055789442
ASL,300d,12,MOV,0.1307630942784867,0.11954958386948013
ASL,300d,12,LOC,0.17959975489891744,0.03184624533549934
BSL,50d,2,ENTIRE,0.09915601463855926,0.5592989877840355
BSL,50d,2,HS,0.11078475722963971,0.5139095884736051
BSL,50d,2,MOV,-0.07093002677165908,0.6765553969069041
BSL,50d,2,LOC,0.11677196110390023,0.49127814986080753
BSL,50d,3,ENTIRE,0.11680096082428934,0.15048337586529487
BSL,50d,3,HS,0.0793393591580155,0.3296280322138205
BSL,50d,3,MOV,0.02350475803812234,0.7730456461521507
BSL,50d,3,LOC,0.13626461511209356,0.09305054696050943
BSL,50d,4,ENTIRE,0.12297536747222662,0.013495127760020122
BSL,50d,4,HS,0.1542754961662289,0.0018960173946854536
BSL,50d,4,MOV,0.024884728909530356,0.618425631279106
BSL,50d,4,LOC,0.05965857722898637,0.23209401781045796
BSL,50d,5,ENTIRE,0.14501175059112023,0.00329000593143923
BSL,50d,5,HS,0.15083854531983681,0.002222973226277978
BSL,50d,5,MOV,0.0828421946195402,0.09430188628877555
BSL,50d,5,LOC,0.08212152182658322,0.09721167152757136
BSL,50d,6,ENTIRE,0.21360574612392605,0.00024197098222225388
BSL,50d,6,HS,0.2065106118998718,0.00039121115557015445
BSL,50d,6,MOV,0.16628007754827934,0.004453102785643612
BSL,50d,6,LOC,0.11166571779585609,0.057088803584184486
BSL,50d,7,ENTIRE,0.25671379712673675,0.00019552342374924532
BSL,50d,7,HS,0.19626443065809396,0.004693730899854003
BSL,50d,7,MOV,0.05747013778771283,0.4119249329385092
BSL,50d,7,LOC,0.24435773313308756,0.0004006370107492698
BSL,50d,8,ENTIRE,0.28173320195314155,0.0007456985992194709
BSL,50d,8,HS,0.20586563855707588,0.014679388103151133
BSL,50d,8,MOV,0.015465145179166903,0.8560878765622324
BSL,50d,8,LOC,0.29678495829991614,0.0003698743099477562
BSL,50d,9,ENTIRE,0.33026067063486586,0.00058015283040562
BSL,50d,9,HS,0.3020992953368185,0.001735830882555856
BSL,50d,9,MOV,0.1441799576306088,0.14226767949386865
BSL,50d,9,LOC,0.2825727617785369,0.003493395377111998
BSL,50d,10,ENTIRE,0.33632527960896874,0.0026072107562220264
BSL,50d,10,HS,0.3483734216668237,0.001774354922168259
BSL,50d,10,MOV,0.07689188012202061,0.5034199842610241
BSL,50d,10,LOC,0.26669430873895716,0.018261459728459363
BSL,50d,11,ENTIRE,0.25394600263418865,0.0464083839410648
BSL,50d,11,HS,0.27119915992732796,0.03299858016899684
BSL,50d,11,MOV,0.010654770141578798,0.9344950841136789
BSL,50d,11,LOC,0.19665230076078052,0.1255394499284722
BSL,50d,12,ENTIRE,0.25268500617478856,0.06793194727858004
BSL,50d,12,HS,0.3012049882472919,0.028401649395680146
BSL,50d,12,MOV,0.07481476106278832,0.5944356429386616
BSL,50d,12,LOC,0.1572484937499048,0.2608002717141244
BSL,100d,2,ENTIRE,-0.3820826793169131,0.24620496753799387
BSL,100d,2,HS,-0.34538504045976454,0.2981929523530361
BSL,100d,2,MOV,-0.23299888858125903,0.4905160227127181
BSL,100d,2,LOC,-0.29407439592645684,0.380068140844159
BSL,100d,3,ENTIRE,0.3540137916985888,0.010815247952065388
BSL,100d,3,HS,0.27815852135789926,0.04810967904603864
BSL,100d,3,MOV,0.23206332309616606,0.10128955551110504
BSL,100d,3,LOC,0.35342812308844357,0.010955944364455315
BSL,100d,4,ENTIRE,0.030255004287090825,0.6851519433983653
BSL,100d,4,HS,0.05198106902515093,0.4858637229732962
BSL,100d,4,MOV,0.0390497346094473,0.6007100263904878
BSL,100d,4,LOC,-0.016881495688273806,0.8210530199466476
BSL,100d,5,ENTIRE,0.13233726148954653,0.008206536337541457
BSL,100d,5,HS,0.12305540190230552,0.014027077032242014
BSL,100d,5,MOV,0.018545753169028092,0.7122360760169846
BSL,100d,5,LOC,0.12840854268910534,0.010338141806890768
BSL,100d,6,ENTIRE,0.1331170442907925,0.006613244376809495
BSL,100d,6,HS,0.14218591324989083,0.003701129665960394
BSL,100d,6,MOV,0.05157754280507382,0.29452663655443523
BSL,100d,6,LOC,0.09565312491466067,0.05151175900616424
BSL,100d,7,ENTIRE,0.13849643706019343,0.018906865766127674
BSL,100d,7,HS,0.1270759591039929,0.03138630729719935
BSL,100d,7,MOV,0.03149040479766391,0.5952213811671047
BSL,100d,7,LOC,0.1271617788019222,0.03127111286030728
BSL,100d,8,ENTIRE,0.2859818864264584,4.837805525575167e-05
BSL,100d,8,HS,0.24587285619234583,0.0005133706333434556
BSL,100d,8,MOV,0.12672972681341227,0.07672529413678356
BSL,100d,8,LOC,0.2567070569153759,0.0002812713783843269
BSL,100d,9,ENTIRE,0.41320065008423845,3.211502855090454e-07
BSL,100d,9,HS,0.3902299998079092,1.580662648756759e-06
BSL,100d,9,MOV,0.1842183804308895,0.028190087138854687
BSL,100d,9,LOC,0.3239932173062307,8.377471159499239e-05
BSL,100d,10,ENTIRE,0.3594344222015279,0.00014339796157372036
BSL,100d,10,HS,0.3602254263380607,0.0001382886033668821
BSL,100d,10,MOV,0.22960384910488105,0.017358728116747258
BSL,100d,10,LOC,0.2492148735539516,0.009636730725906375
BSL,100d,11,ENTIRE,0.4651008037154316,1.0705498391664766e-05
BSL,100d,11,HS,0.45208386532002776,2.010956297346457e-05
BSL,100d,11,MOV,0.34179717623608125,0.0016733003304607872
BSL,100d,11,LOC,0.3453958462654573,0.0014824863361403672
BSL,100d,12,ENTIRE,0.35745443703535096,0.003734714630579127
BSL,100d,12,HS,0.4217483350507321,0.0005186719240363928
BSL,100d,12,MOV,0.15037583919800812,0.2356006359763076
BSL,100d,12,LOC,0.20325671934771558,0.10720799916004096
BSL,200d,2,ENTIRE,-0.5409162990413837,0.20993172097263385
BSL,200d,2,HS,-0.48080192403360866,0.274741783017762
BSL,200d,2,MOV,-0.09234869098367854,0.8438916518167561
BSL,200d,2,LOC,-0.722020036656039,0.06691885282473217
BSL,200d,3,ENTIRE,-0.03896012409260731,0.8599066964917339
BSL,200d,3,HS,-0.016304771019507662,0.9411385881580796
BSL,200d,3,MOV,0.10127671479899064,0.6456559590757243
BSL,200d,3,LOC,-0.09192975079891505,0.6765477511570765
BSL,200d,4,ENTIRE,0.11134745476768713,0.40959920474918204
BSL,200d,4,HS,0.049736929448730934,0.713310273903084
BSL,200d,4,MOV,0.1857220752327309,0.1666116321237852
BSL,200d,4,LOC,0.0929625077569635,0.49158254631781856
BSL,200d,5,ENTIRE,0.07533085119904157,0.36119818871216064
BSL,200d,5,HS,0.03973804217455595,0.6303959470555682
BSL,200d,5,MOV,0.084787196650153,0.30390467316583064
BSL,200d,5,LOC,0.08221093822958084,0.31888616217029764
BSL,200d,6,ENTIRE,0.09197010579707272,0.10380847385818812
BSL,200d,6,HS,0.11184860142521297,0.047672572024108496
BSL,200d,6,MOV,-0.03036801601507084,0.5918893450512609
BSL,200d,6,LOC,0.08655373660704435,0.12589480355848554
BSL,200d,7,ENTIRE,0.15378516719721794,0.0013984088450053808
BSL,200d,7,HS,0.15530643974748953,0.0012510781941858405
BSL,200d,7,MOV,0.06615417521199864,0.17140383053024397
BSL,200d,7,LOC,0.10571867170497659,0.028565713156739697
BSL,200d,8,ENTIRE,0.07702264263704052,0.1510383919607608
BSL,200d,8,HS,0.08639426550582549,0.10713579303672463
BSL,200d,8,MOV,0.1024934824222272,0.05575990580960366
BSL,200d,8,LOC,0.01654330729893618,0.7581075912023033
BSL,200d,9,ENTIRE,0.08106821274080654,0.20326339962067994
BSL,200d,9,HS,0.07368202821543314,0.24765837427556212
BSL,200d,9,MOV,0.06322871377013897,0.32134927473660846
BSL,200d,9,LOC,0.05585759537739073,0.38109183194380997
BSL,200d,10,ENTIRE,0.20594612532992349,0.006720605155544081
BSL,200d,10,HS,0.15004098697566645,0.04946565176205484
BSL,200d,10,MOV,0.052794480077536045,0.4915635094333499
BSL,200d,10,LOC,0.19706349312711777,0.009567612138087624
BSL,200d,11,ENTIRE,0.32203408842785897,0.00026494627091123735
BSL,200d,11,HS,0.26988418369371914,0.0024348398140863975
BSL,200d,11,MOV,0.11878566828578924,0.18884541282953152
BSL,200d,11,LOC,0.2946546192487379,0.0008938253959308948
BSL,200d,12,ENTIRE,0.3882894592818725,7.791228508967762e-05
BSL,200d,12,HS,0.3690359463992368,0.00018454517978083127
BSL,200d,12,MOV,0.2595359792388273,0.009860245438053809
BSL,200d,12,LOC,0.28593712585358677,0.004315070093926511
BSL,300d,2,ENTIRE,-0.44536087478221426,0.31662670698521317
BSL,300d,2,HS,-0.4579711084305107,0.3014236210439539
BSL,300d,2,MOV,-0.3277760736402219,0.4729536691184115
BSL,300d,2,LOC,-0.40729986139555874,0.36444316777598107
BSL,300d,3,ENTIRE,-0.11245197607960247,0.7420142934869804
BSL,300d,3,HS,-0.0646769863674596,0.8501510097414504
BSL,300d,3,MOV,-0.06298040643079694,0.8540449618545136
BSL,300d,3,LOC,-0.07662982071588492,0.8228066116063237
BSL,300d,4,ENTIRE,-0.12116099850492801,0.4881044588863246
BSL,300d,4,HS,-0.19456924496815162,0.26270177104591935
BSL,300d,4,MOV,-0.009226259889902555,0.9580490179698822
BSL,300d,4,LOC,-0.020961941307870484,0.9048620620511023
BSL,300d,5,ENTIRE,0.1304120272728367,0.2341936311190239
BSL,300d,5,HS,0.09710932601087578,0.3766208395569186
BSL,300d,5,MOV,0.2747012202197661,0.01095065414570628
BSL,300d,5,LOC,0.011562371970632777,0.9163560213567187
BSL,300d,6,ENTIRE,0.139629434638832,0.04325308407010868
BSL,300d,6,HS,0.12948894304595662,0.06104535740932032
BSL,300d,6,MOV,0.04776444527836143,0.49117937122715005
BSL,300d,6,LOC,0.1078707400580988,0.11913467240891963
BSL,300d,7,ENTIRE,0.17270973622338648,0.0009073097115072045
BSL,300d,7,HS,0.14739901235509234,0.004717547093138376
BSL,300d,7,MOV,0.08848122066970457,0.09097599062959719
BSL,300d,7,LOC,0.14444037475836796,0.005633467374991187
BSL,300d,8,ENTIRE,0.1428355341292547,0.0037953892548095057
BSL,300d,8,HS,0.13518939540097238,0.006176714005794517
BSL,300d,8,MOV,0.12910327997721052,0.008951289300080496
BSL,300d,8,LOC,0.07671894181170068,0.12136253920528405
BSL,300d,9,ENTIRE,0.15579343425423287,0.00590132248129068
BSL,300d,9,HS,0.1197457218145499,0.03478639793846438
BSL,300d,9,MOV,0.1885601970903859,0.0008319717395814833
BSL,300d,9,LOC,0.09575767617486551,0.09183800577906175
BSL,300d,10,ENTIRE,0.23888540789521698,0.0003972091627276173
BSL,300d,10,HS,0.20819062608477257,0.002099500733083002
BSL,300d,10,MOV,0.2012444890415996,0.0029685923150299365
BSL,300d,10,LOC,0.15001389630293888,0.02749331100284127
BSL,300d,11,ENTIRE,0.3652187509074953,4.00958952004838e-06
BSL,300d,11,HS,0.32076517716183756,5.9318471455234787e-05
BSL,300d,11,MOV,0.13038666842258312,0.11055046903717193
BSL,300d,11,LOC,0.2997250659083414,0.00018489541786841443
BSL,300d,12,ENTIRE,0.391741627763617,1.943368903085312e-05
BSL,300d,12,HS,0.333412661540572,0.0003277981289281179
BSL,300d,12,MOV,0.13974729680520562,0.14167649196116858
BSL,300d,12,LOC,0.3456331523587638,0.0001895758023328217
